Plot,Distance,Patch_Size,Prox,Cotton_Loss_1,P_Sorption_0_15,Litter_Loss_Holes,N_0_15,C_0_15,Soybean
2010-01,0,4.86,0.98,11.31,4.2485,35.6429,0.2132,2.156,1244
2010-01,5,4.86,0.98,6.39,2.7999,33.2148,0.1747,1.9089,760.4
2010-01,10,4.86,0.98,4.02,2.8543,38.2924,0.1673,1.8609,1892.67
2010-01,25,4.86,0.98,0.61,1.0722,37.7817,0.1284,1.2512,1184.4
2010-02,0,2.1,10.13,80.4,2.4046,36.0743,0.2318,0.9572,1595.2
2010-02,5,2.1,10.13,55.32,2.6718,33.3391,0.122,1.1521,2210.53
2010-02,10,2.1,10.13,62.32,3.7919,37.9622,0.1786,1.1827,3174.67
2010-02,25,2.1,10.13,37.19,1.888,32.4161,0.1702,1.1657,2309.87
2010-03,0,1397.36,4550.85,58.2,4.1386,37.8962,0.189,1.7936,1058.91
2010-03,5,1397.36,4550.85,48.32,2.5473,40.0951,0.189,1.714,2330
2010-03,10,1397.36,4550.85,47.92,3.7339,43.3717,0.1882,1.7024,1736.91
2010-03,25,1397.36,4550.85,52.92,1.9493,46.0408,0.1564,1.5118,2153.82
2010-04,0,9.64,3.04,13.67,5.2747,34.9295,0.1233,1.2693,1291.43
2010-04,5,9.64,3.04,27.05,5.5474,33.3347,0.1629,1.5009,1858.29
2010-04,10,9.64,3.04,21.5,4.8492,35.8494,0.1609,1.5466,2914.57
2010-04,25,9.64,3.04,17.52,4.5944,36.9081,0.1383,1.6427,3592
2010-05,0,5.5,277.26,16.04,8.7105,36.7409,0.1956,1.4891,1414.53
2010-05,5,5.5,277.26,14.34,7.5159,36.3064,0.0935,1.4862,3706
2010-05,10,5.5,277.26,12.86,9.3103,31.5348,0.1717,1.5224,892.53
2010-05,25,5.5,277.26,18.21,9.4369,38.618,0.2411,1.5607,3783.07
2010-06,0,10.91,43.16,8.22,1.5546,31.8276,0.1772,1.797,880.4
2010-06,5,10.91,43.16,17.9,4.2023,48.2559,0.1446,1.5267,1307.8
2010-06,10,10.91,43.16,21.95,4.0608,37.0507,0.113,1.2195,3284.4
2010-06,25,10.91,43.16,17.46,4.6904,35.0501,0.2038,1.9403,2153
2010-07,0,209.22,7.57,92.13,2.9033,27.7083,0.2757,2.0789,1767.6
2010-07,5,209.22,7.57,25.4,4.7686,34.1421,0.231,1.8518,1972.8
2010-07,10,209.22,7.57,69.95,4.7277,37.4161,0.2564,2.0116,1868.8
2010-07,25,209.22,7.57,82.52,4.4074,37.5578,0.2782,2.3061,3265.6
2010-08,0,484.93,39.19,6.78,1.5797,28.741,0.1413,2.151,1351.87
2010-08,5,484.93,39.19,22.34,1.8116,40.7575,0.2794,1.9645,2033.2
2010-08,10,484.93,39.19,71.78,2.8149,38.2696,0.2332,2.039,2750.13
2010-08,25,484.93,39.19,30.85,1.674,38.2831,0.2564,2.5499,3048.13
2010-09,0,484.93,39.19,18.19,6.3428,29.5611,0.1889,1.4941,100
2010-09,5,484.93,39.19,47.44,8.974,33.218,0.1516,1.3151,816.5
