Plot,Distance,Patch_Size,Prox,C1_Tot_Aphids,C1_Tot_Lfts,C1_Tot_Grz,C2_Tot_Aphids,C2_Tot_Lfts,C2_Tot_Grz,Soybean
2010-01,0,4.86,0.98,1,126,21,13,102,11,1244
2010-01,50,4.86,0.98,3,135,16,11,216,8,1415.33
2010-01,100,4.86,0.98,1,136,7,2,156,17,2052.53
2010-01,200,4.86,0.98,0,102,7,9,157,7,1335.47
2010-01,500,4.86,0.98,0,139,6,6,156,7,1491.07
2010-02,0,2.1,10.13,6,163,8,45,215,18,1595.2
2010-02,50,2.1,10.13,7,124,19,140,214,28,2391.47
2010-02,100,2.1,10.13,3,154,22,36,191,45,2075.6
2010-02,200,2.1,10.13,34,231,31,56,110,17,2069.87
2010-02,500,2.1,10.13,5,189,31,32,193,22,1871.87
2010-03,0,1397.36,4550.85,0,88,19,28,103,28,1058.91
2010-03,50,1397.36,4550.85,0,140,57,15,170,54,2760.36
2010-03,100,1397.36,4550.85,0,123,49,16,138,56,2398.55
2010-03,200,1397.36,4550.85,0,117,46,2,140,51,2275.45
2010-03,500,1397.36,4550.85,0,143,54,6,166,80,3777.27
2010-04,0,9.64,3.04,0,172,14,2,156,7,1291.43
2010-04,50,9.64,3.04,1,294,5,25,236,18,4070.86
2010-04,100,9.64,3.04,7,276,16,46,146,13,4555.71
2010-04,200,9.64,3.04,5,242,14,2,190,16,3652.29
2010-04,500,9.64,3.04,0,208,14,10,213,33,2708.57
2010-05,0,5.5,277.26,15,195,14,39,132,17,1414.53
2010-05,50,5.5,277.26,57,276,33,137,259,71,3055.33
2010-05,100,5.5,277.26,17,186,23,49,261,41,2893.6
2010-05,200,5.5,277.26,7,206,28,200,215,41,2946.13
2010-05,500,5.5,277.26,4,246,31,39,179,18,3184.4
2010-06,0,10.91,43.16,3,107,15,70,122,19,880.4
2010-06,50,10.91,43.16,71,220,29,996,246,36,2236.4
2010-06,100,10.91,43.16,138,170,42,1226,238,68,2737.8
2010-06,200,10.91,43.16,26,247,78,176,181,61,1315.6
2010-06,500,10.91,43.16,85,219,83,419,222,76,2836.2
2010-07,0,209.22,7.57,23,128,33,41,135,33,1767.6
2010-07,50,209.22,7.57,27,161,20,97,142,15,2136.2
2010-07,100,209.22,7.57,127,147,20,346,224,29,2711.4
2010-07,200,209.22,7.57,0,154,31,51,154,30,2610.4
2010-07,500,209.22,7.57,0,188,27,52,201,51,3041.4
2010-08,0,484.93,39.19,0,105,11,61,149,23,1351.87
2010-08,50,484.93,39.19,7,184,25,60,225,37,3939.2
2010-08,100,484.93,39.19,7,218,34,77,208,36,4006.67
2010-08,200,484.93,39.19,20,191,32,121,142,47,4519.2
2010-08,500,484.93,39.19,5,226,43,28,172,38,3628.27
2010-09,0,484.93,39.19,0,90,5,0,94,9,100
2010-09,50,484.93,39.19,20,287,36,73,223,29,3254.25
2010-09,100,484.93,39.19,31,228,13,18,218,17,3910.25
2010-09,200,484.93,39.19,8,168,40,79,216,23,4120
2010-09,500,484.93,39.19,19,215,37,18,199,20,3422.75
2010-10,0,484.93,39.19,12,258,21,194,154,16,2690
2010-10,50,484.93,39.19,32,215,29,380,250,18,2538
2010-10,100,484.93,39.19,8,264,14,251,282,24,3276.25
2010-10,200,484.93,39.19,12,210,23,170,347,27,3230
2010-10,500,484.93,39.19,124,342,61,190,341,41,3793.75
2010-11,0,2.4,23.59,71,161,18,138,146,17,797.75
2010-11,50,2.4,23.59,10,281,19,199,177,18,2860
2010-11,100,2.4,23.59,94,195,38,110,238,43,4336.5
2010-11,200,2.4,23.59,61,323,38,96,225,26,3656.5
2010-11,500,2.4,23.59,38,227,59,75,227,42,2895.5
2010-12,0,696.4,2194.02,46,174,16,35,122,10,2167.87
2010-12,50,696.4,2194.02,195,155,6,214,168,15,
2010-12,100,696.4,2194.02,65,188,22,98,153,11,
2010-12,200,696.4,2194.02,56,167,16,152,188,12,3359.2
2010-12,500,696.4,2194.02,21,167,16,22,169,9,3061.87
2010-13,0,0.52,2194.02,34,191,5,97,170,4,1278.5
2010-13,50,0.52,2194.02,78,295,67,199,144,47,4347
2010-13,100,0.52,2194.02,32,209,22,123,146,28,4157.5
2010-13,200,0.52,2194.02,35,185,57,124,163,49,3074.5
2010-13,500,0.52,2194.02,33,220,69,122,137,62,2293
2010-14,0,696.4,2194.02,8,86,4,36,79,9,389.07
2010-14,50,696.4,2194.02,67,140,26,91,161,23,1690.53
2010-14,100,696.4,2194.02,39,120,33,48,132,26,2824.53
2010-14,200,696.4,2194.02,7,151,45,22,199,39,2467.07
2010-14,500,696.4,2194.02,11,162,52,52,160,46,2687.07
2010-15,0,4880.94,938.47,0,101,11,31,140,17,2288.4
2010-15,50,4880.94,938.47,87,217,38,205,218,18,3200.93
2010-15,100,4880.94,938.47,85,172,32,205,229,23,2555.47
2010-15,200,4880.94,938.47,44,218,36,119,177,43,2517.47
2010-15,500,4880.94,938.47,38,298,77,370,328,77,2535.47
