Plot,Distance,Census,Patch_Size,Prox,Tot_Aphids,Tot_Lfts,Tot_Grz
2010-01,0,One,4.86,0.98,1,126,21
2010-01,50,One,4.86,0.98,3,135,16
2010-01,100,One,4.86,0.98,1,136,7
2010-01,200,One,4.86,0.98,0,102,7
2010-01,500,One,4.86,0.98,0,139,6
2010-02,0,One,2.1,10.13,6,163,8
2010-02,50,One,2.1,10.13,7,124,19
2010-02,100,One,2.1,10.13,3,154,22
2010-02,200,One,2.1,10.13,34,231,31
2010-02,500,One,2.1,10.13,5,189,31
2010-03,0,One,1397.36,4550.85,0,88,19
2010-03,50,One,1397.36,4550.85,0,140,57
2010-03,100,One,1397.36,4550.85,0,123,49
2010-03,200,One,1397.36,4550.85,0,117,46
2010-03,500,One,1397.36,4550.85,0,143,54
2010-04,0,One,9.64,3.04,0,172,14
2010-04,50,One,9.64,3.04,1,294,5
2010-04,100,One,9.64,3.04,7,276,16
2010-04,200,One,9.64,3.04,5,242,14
2010-04,500,One,9.64,3.04,0,208,14
2010-05,0,One,5.5,277.26,15,195,14
2010-05,50,One,5.5,277.26,57,276,33
2010-05,100,One,5.5,277.26,17,186,23
2010-05,200,One,5.5,277.26,7,206,28
2010-05,500,One,5.5,277.26,4,246,31
2010-06,0,One,10.91,43.16,3,107,15
2010-06,50,One,10.91,43.16,71,220,29
2010-06,100,One,10.91,43.16,138,170,42
2010-06,200,One,10.91,43.16,26,247,78
2010-06,500,One,10.91,43.16,85,219,83
2010-07,0,One,209.22,7.57,23,128,33
2010-07,50,One,209.22,7.57,27,161,20
2010-07,100,One,209.22,7.57,127,147,20
2010-07,200,One,209.22,7.57,0,154,31
2010-07,500,One,209.22,7.57,0,188,27
2010-08,0,One,484.93,39.19,0,105,11
2010-08,50,One,484.93,39.19,7,184,25
2010-08,100,One,484.93,39.19,7,218,34
2010-08,200,One,484.93,39.19,20,191,32
2010-08,500,One,484.93,39.19,5,226,43
2010-09,0,One,484.93,39.19,0,90,5
2010-09,50,One,484.93,39.19,20,287,36
2010-09,100,One,484.93,39.19,31,228,13
2010-09,200,One,484.93,39.19,8,168,40
2010-09,500,One,484.93,39.19,19,215,37
2010-10,0,One,484.93,39.19,12,258,21
2010-10,50,One,484.93,39.19,32,215,29
2010-10,100,One,484.93,39.19,8,264,14
2010-10,200,One,484.93,39.19,12,210,23
