Plot,Distance,Patch_Size,Prox,C1_Tot_Aphids,C1_Tot_Lfts,C1_Tot_Grz,C2_Tot_Aphids,C2_Tot_Lfts,C2_Tot_Grz,C3_Tot_Aphids,C3_Tot_Lfts,C3_Tot_Grz,Soybean
2011-01,0,32.4,5.17,111,78,11,386,215,40,2167,240,60,2537.43
2011-01,50,32.4,5.17,113,117,23,653,190,44,3881,285,81,3100.57
2011-01,100,32.4,5.17,173,135,44,382,159,55,5156,282,89,5036
2011-01,200,32.4,5.17,105,142,21,396,227,50,3036,270,80,2858.86
2011-01,500,32.4,5.17,21,94,6,478,188,49,3077,267,64,3304.29
2011-03,0,11.8,22.62,49,93,28,607,96,18,215,153,25,1090.41
2011-03,50,11.8,22.62,178,158,33,542,278,41,2083,262,69,2864.38
2011-03,100,11.8,22.62,51,150,22,209,135,21,1195,151,48,1963.01
2011-03,200,11.8,22.62,78,175,24,433,356,44,1956,217,73,3081.51
2011-03,500,11.8,22.62,165,162,20,1586,263,39,1316,266,67,2871.37
2011-04,0,2.6,9.46,13,60,30,446,140,33,612,143,28,647.05
2011-04,50,2.6,9.46,21,118,45,447,193,50,1695,271,55,2184.49
2011-04,100,2.6,9.46,19,99,32,211,142,38,1402,257,85,2125.26
2011-04,200,2.6,9.46,12,93,16,154,182,50,742,296,84,1323.46
2011-04,500,2.6,9.46,10,104,31,231,242,83,2135,380,125,1671.41
2011-05,0,126.2,351.37,41,79,10,244,108,40,723,128,41,1328.11
2011-05,50,126.2,351.37,97,95,19,421,152,52,1874,244,85,2592.84
2011-05,100,126.2,351.37,65,97,33,335,124,59,1979,255,113,2943.38
2011-05,200,126.2,351.37,80,104,38,530,164,60,2139,219,127,3008.51
2011-05,500,126.2,351.37,79,107,42,552,194,77,2140,195,137,2730.41
2011-06,0,4880.9,938.47,808,92,19,287,95,23,690,142,62,882.44
2011-06,50,4880.9,938.47,214,136,36,825,238,79,2517,273,104,2792.44
2011-06,100,4880.9,938.47,145,138,36,828,226,52,5847,300,91,2677.31
2011-06,200,4880.9,938.47,207,107,40,457,193,40,5641,314,88,1960.51
2011-06,500,4880.9,938.47,167,96,52,870,251,78,4817,287,129,2835.9
2011-07,0,438.8,16.22,151,157,38,714,229,92,324,175,109,2545.26
2011-07,50,438.8,16.22,470,214,53,2009,291,111,705,275,110,4166.05
2011-07,100,438.8,16.22,575,270,50,1420,286,134,517,284,156,4126.84
2011-07,200,438.8,16.22,543,262,47,687,322,160,687,220,164,3587.89
2011-07,500,438.8,16.22,289,285,63,725,250,116,1109,339,231,4577.63
2011-08,0,907.9,53.12,46,70,16,2462,101,37,,109,,922.71
2011-08,50,907.9,53.12,393,90,19,2770,214,36,,245,,1563.65
2011-08,100,907.9,53.12,565,112,9,4695,133,22,,242,,593.41
2011-08,200,907.9,53.12,456,100,18,8824,256,28,,288,,1081.29
2011-08,500,907.9,53.12,571,100,26,8855,205,34,,252,,1487.29
2011-09,0,209.2,7.57,1281,108,14,114,136,13,1226,193,43,621.77
2011-09,50,209.2,7.57,854,98,19,343,199,35,2856,285,42,1025.7
2011-09,100,209.2,7.57,790,104,24,444,138,44,2992,197,63,986.33
2011-09,200,209.2,7.57,394,86,23,533,160,50,2777,221,80,1121.9
2011-09,500,209.2,7.57,901,76,31,386,179,40,3539,333,48,1666.71
2011-10,0,4.1,19.12,25,55,2,192,106,2,265,129,35,566.79
2011-10,50,4.1,19.12,2,111,16,115,263,33,882,314,43,1596.79
2011-10,100,4.1,19.12,1,79,6,266,211,17,633,241,46,1505.26
2011-10,200,4.1,19.12,22,134,13,97,258,25,1490,324,71,1496.15
2011-10,500,4.1,19.12,25,207,23,262,263,40,1388,344,68,2392.95
2011-11,0,696.4,2194.02,15,70,5,352,164,17,1369,192,30,1849.57
2011-11,50,696.4,2194.02,9,112,15,229,246,33,1415,261,58,2482.17
2011-11,100,696.4,2194.02,13,176,43,69,166,49,473,238,66,2679.57
2011-11,200,696.4,2194.02,38,155,29,169,296,83,1096,310,101,4256.52
2011-11,500,696.4,2194.02,39,156,37,191,250,78,1148,288,100,3065.22
2011-12,0,696.4,2194.02,119,58,9,64,68,19,98,59,3,448.59
2011-12,50,696.4,2194.02,87,87,17,471,118,37,855,128,42,1744.49
2011-12,100,696.4,2194.02,72,84,44,429,115,68,472,130,77,2408.97
2011-12,200,696.4,2194.02,73,67,46,253,137,78,1469,196,72,2817.69
2011-12,500,696.4,2194.02,32,74,26,176,151,53,1195,183,80,1770.13
2011-13,0,113.8,413.32,176,125,28,1472,93,18,480,216,68,3041.08
2011-13,50,113.8,413.32,154,135,15,1700,163,14,1511,134,30,3570.81
2011-13,100,113.8,413.32,119,147,16,981,143,22,1284,194,74,4075.14
2011-13,200,113.8,413.32,103,145,20,1473,194,26,1552,120,42,4818.92
2011-13,500,113.8,413.32,46,110,15,889,225,48,2669,252,78,3724.32
2011-14,0,48.7,170.19,44,142,75,,182,,,200,,2911.73
2011-14,50,48.7,170.19,74,198,36,,205,,,253,,3297.87
2011-14,100,48.7,170.19,75,220,42,,205,,,262,,4245.6
2011-14,200,48.7,170.19,56,154,46,,125,,,310,,3407.07
2011-14,500,48.7,170.19,19,100,36,,224,,,251,,3185.33
2011-15,0,2.6,2.69,66,79,7,313,102,5,1573,149,18,1574.21
2011-15,50,2.6,2.69,54,67,10,275,138,13,3535,258,29,2079.47
2011-15,100,2.6,2.69,25,65,14,391,145,16,1588,189,29,2670
2011-15,200,2.6,2.69,61,103,23,589,201,41,1986,198,54,3746.84
2011-15,500,2.6,2.69,30,83,20,197,125,38,2021,215,75,1507.89
2011-16,0,376.8,176.61,167,189,21,794,122,66,,308,,3064.44
2011-16,50,376.8,176.61,168,208,16,1833,289,20,,382,,4622.22
2011-16,100,376.8,176.61,178,176,19,1399,196,27,,294,,4644.72
2011-16,200,376.8,176.61,215,231,29,4007,254,23,,274,,3122.5
2011-16,500,376.8,176.61,149,244,17,2401,253,29,,256,,4839.44
2011-17,0,223.2,791.79,57,126,28,57,96,32,44,119,37,1409.6
2011-17,50,223.2,791.79,90,183,38,593,323,54,1627,268,89,3580
2011-17,100,223.2,791.79,113,167,27,290,183,55,1434,179,90,3406.67
2011-17,200,223.2,791.79,111,231,53,265,203,57,1498,255,97,3351.2
2011-17,500,223.2,791.79,8,130,32,78,165,35,500,161,57,2675.6
2011-19,0,39.9,58.73,172,87,18,516,212,52,1298,304,37,2860
2011-19,50,39.9,58.73,49,99,10,306,154,56,3397,305,61,1421.6
2011-19,100,39.9,58.73,38,128,10,461,163,35,1277,359,68,2849
2011-19,200,39.9,58.73,53,113,12,449,255,56,4509,449,90,3218.8
2011-19,500,39.9,58.73,46,105,18,248,229,41,1646,241,45,3592.8
2011-20,0,718,1271.16,60,67,40,307,119,50,3649,186,80,2095
2011-20,50,718,1271.16,11,88,19,186,96,20,1501,121,63,2916.05
2011-20,100,718,1271.16,32,82,21,195,149,47,1383,198,59,3514.74
2011-20,200,718,1271.16,33,92,10,268,144,15,1520,146,62,2433.42
